date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-19,-2.4,-1.8,3.5,0,,360,4.6,9.4,1030.8,
2022-01-20,-0.8,-0.7,6.7,0,,357.6,6.8,9.4,1020.4,
2022-01-21,1,-0.1,3.5,0,,344.1,14.4,9.4,1025,
2022-01-22,0.9,-6.7,9.4,0,,4.9,12.8,9.4,1024.6,
2022-01-23,-0.1,-0.1,4.4,0,,1.7,5.1,9.4,1031.2,
2022-01-24,-0.6,-0.1,0.5,0,,4.9,7.8,9.4,1035.7,
2022-01-25,-1.9,-1.6,3.9,0,,360,4.6,9.4,1033.5,
2022-01-26,-0.4,-0.1,1.5,0,,360,4.2,9.4,1030.4,
2022-01-27,-1.2,-0.8,2,0,,360,4.9,9.4,1025,
2022-01-28,3,-6.7,8.4,0,,338.5,12.5,9.4,1025.2,
2022-01-29,-0.2,-0.2,6.5,0,,0,5.5,9.4,1027.5,
2022-01-30,4.1,-2.4,9.8,0,,341.6,15.8,9.4,1017.6,
2022-01-31,-0.5,-0.4,4.6,0,,359.2,5.5,9.4,1011.9,
2022-02-01,0.2,-0.8,6.8,0,,340.2,9.6,9.4,1012.4,
2022-02-02,2.9,-0.7,8.4,0,,328,12,37,1011.1,
